game,steps,loss,exploration,reward
254,111,,1.0,0.0
255,102,,1.0,0.0
256,79,,1.0,0.0
257,112,,1.0,0.0
258,95,,1.0,0.0
259,126,,1.0,0.0
260,110,,1.0,0.0
261,80,,1.0,0.0
262,113,,1.0,0.0
263,100,,1.0,0.0
264,137,,1.0,0.0
265,78,,1.0,0.0
266,85,,1.0,0.0
267,76,,1.0,0.0
268,109,,1.0,0.0
269,92,,1.0,0.0
270,95,,1.0,0.0
271,117,,1.0,0.0
272,101,,1.0,0.0
273,93,,1.0,0.0
274,86,,1.0,0.0
275,108,,1.0,0.0
276,107,,1.0,0.0
277,159,,1.0,0.0
278,119,,1.0,0.0
279,93,,1.0,0.0
280,93,,1.0,0.0
281,99,,1.0,0.0
282,117,,1.0,0.0
283,92,,1.0,0.0
284,105,,1.0,1.0
285,136,,1.0,0.0
286,87,,1.0,0.0
287,104,,1.0,0.0
288,103,,1.0,0.0
289,89,,1.0,0.0
290,124,,1.0,0.0
291,132,,1.0,1.0
292,150,,1.0,0.0
293,93,,1.0,0.0
294,101,,1.0,0.0
295,83,,1.0,0.0
296,83,,1.0,0.0
297,118,,1.0,0.0
298,104,,1.0,0.0
299,106,,1.0,1.0
300,82,,1.0,0.0
301,94,,1.0,0.0
302,96,,1.0,0.0
303,77,,1.0,0.0
304,85,,1.0,0.0
305,109,,1.0,0.0
306,106,,1.0,0.0
307,103,,1.0,0.0
308,122,,1.0,0.0
309,115,,1.0,0.0
310,121,,1.0,0.0
311,95,,1.0,0.0
312,78,,1.0,0.0
313,130,,1.0,0.0
314,112,,1.0,0.0
315,123,,1.0,0.0
316,75,,1.0,0.0
317,81,,1.0,0.0
318,87,,1.0,0.0
319,77,,1.0,0.0
320,145,,1.0,0.0
321,108,,1.0,0.0
322,144,,1.0,0.0
323,92,,1.0,0.0
324,76,,1.0,0.0
325,101,,1.0,0.0
326,104,,1.0,0.0
327,94,,1.0,0.0
328,69,,1.0,0.0
329,99,,1.0,0.0
330,99,,1.0,0.0
331,117,,1.0,0.0
332,108,,1.0,0.0
333,108,,1.0,0.0
334,83,,1.0,0.0
335,80,,1.0,0.0
336,73,,1.0,0.0
337,83,,1.0,0.0
338,139,,1.0,0.0
339,74,,1.0,0.0
340,105,,1.0,0.0
341,88,,1.0,0.0
342,86,,1.0,0.0
343,89,,1.0,0.0
344,85,,1.0,0.0
345,109,,1.0,0.0
346,74,,1.0,0.0
347,94,,1.0,0.0
348,70,,1.0,0.0
349,97,,1.0,0.0
350,131,,1.0,0.0
351,109,,1.0,0.0
352,120,,1.0,0.0
353,107,,1.0,0.0
354,106,,1.0,1.0
355,100,,1.0,0.0
356,124,,1.0,0.0
357,108,,1.0,0.0
358,79,,1.0,0.0
359,103,,1.0,0.0
360,57,,1.0,0.0
361,107,,1.0,0.0
362,101,,1.0,0.0
363,135,,1.0,0.0
364,75,,1.0,0.0
365,125,,1.0,1.0
366,102,,1.0,0.0
367,134,,1.0,0.0
368,83,,1.0,0.0
369,63,,1.0,0.0
370,122,,1.0,0.0
371,105,,1.0,0.0
372,85,,1.0,0.0
373,136,,1.0,1.0
374,99,,1.0,0.0
375,95,,1.0,0.0
376,103,,1.0,0.0
377,134,,1.0,0.0
378,105,,1.0,0.0
379,90,,1.0,0.0
380,104,,1.0,0.0
381,107,,1.0,0.0
382,116,,1.0,0.0
383,72,,1.0,0.0
384,110,,1.0,0.0
385,89,,1.0,0.0
386,87,,1.0,0.0
387,107,,1.0,0.0
388,123,,1.0,1.0
389,126,,1.0,0.0
390,106,,1.0,0.0
391,75,,1.0,0.0
392,87,,1.0,0.0
393,113,,1.0,0.0
394,119,,1.0,0.0
395,89,,1.0,0.0
396,91,,1.0,0.0
397,116,,1.0,0.0
398,124,,1.0,0.0
399,116,,1.0,0.0
400,97,,1.0,0.0
401,101,,1.0,0.0
402,124,,1.0,0.0
403,109,,1.0,0.0
404,75,,1.0,0.0
405,55,,1.0,0.0
406,92,,1.0,0.0
407,92,,1.0,0.0
408,97,,1.0,0.0
409,106,,1.0,0.0
410,84,,1.0,0.0
411,72,,1.0,0.0
412,95,,1.0,0.0
413,113,,1.0,0.0
414,91,,1.0,0.0
415,78,,1.0,0.0
