game,steps,loss,exploration,reward
269,170,1.460752959388095,0.9588412000000057,2316
270,155,1.4607654244145718,0.9586414000000058,5403
271,172,1.4512817694574895,0.9584416000000058,2800
272,214,1.4972106176054807,0.9582418000000058,5510
273,223,1.4220010069079865,0.9580420000000058,7025
274,262,1.5227300753383515,0.9578422000000059,3743
275,201,1.4195325815013533,0.9576424000000059,4665
276,243,1.5613023488799487,0.9574426000000059,4668
277,186,1.5567500206446603,0.9572428000000059,6050
278,142,1.739943914378239,0.957043000000006,5150
279,195,1.618853131552643,0.956843200000006,2660
280,158,1.7228950620890582,0.956643400000006,5234
281,203,1.7348996162718364,0.9564436000000061,4409
282,192,1.4574826335460553,0.9562438000000061,6726
283,216,1.5947587754004922,0.9560440000000061,3468
284,254,1.598713179424674,0.9558442000000061,5842
285,222,1.6383120387385837,0.9556444000000062,4595
286,252,1.6092349971300646,0.9554446000000062,5279
287,197,1.5809779021981514,0.9552448000000062,3886
288,151,1.4004934500159831,0.9550450000000063,3175
289,234,1.4433758575868485,0.9548452000000063,7221
290,173,1.5168222457127782,0.9546454000000063,1969
291,213,1.66072546908116,0.9544456000000063,3969
292,134,1.5906678203450206,0.9542458000000064,1568
293,201,1.561797099713509,0.9540460000000064,5463
294,203,1.4197938796189007,0.9538462000000064,5921
295,195,1.5687944362303965,0.9536464000000064,5937
296,198,1.5251260970676581,0.9534466000000065,4811
297,93,1.5159722032218144,0.9532468000000065,1166
298,251,1.5251516940323904,0.9530470000000065,3757
299,141,1.5112660777716351,0.9528472000000066,3052
300,159,1.5074455345149196,0.9526474000000066,6861
301,117,1.4315506035467704,0.9524476000000066,1229
302,213,1.5638714970857959,0.9522478000000066,6026
303,209,1.6610582079120049,0.9520480000000067,5716
304,201,1.6147695456953743,0.9518482000000067,4960
305,221,1.587793393636144,0.9516484000000067,2448
306,186,1.7640517008104826,0.9514486000000068,2504
307,196,1.9258687755407584,0.9512488000000068,3819
308,165,1.7081425277675835,0.9510490000000068,5012
309,241,1.8664254369961113,0.9508492000000068,4494
310,239,2.0310354468218508,0.9506494000000069,5261
311,217,1.6257301536370086,0.9504496000000069,3800
312,235,1.6617793304680477,0.9502498000000069,4597
313,113,1.6785733692027685,0.950050000000007,2077
314,210,1.8294479535973591,0.949850200000007,5508
315,227,1.8618385015820127,0.949650400000007,4493
316,223,1.533519964264646,0.949450600000007,3395
317,181,1.5953020121200454,0.9492508000000071,3325
318,247,1.58260422615626,0.9490510000000071,7170
319,175,1.5494450559527297,0.9488512000000071,6914
320,194,1.7362572422474276,0.9486514000000071,3336
321,145,1.618140632001765,0.9484516000000072,4502
322,244,1.6070381234625588,0.9482518000000072,4642
323,171,1.8506148880243167,0.9480520000000072,5502
324,185,1.6389779023775914,0.9478522000000073,8345
325,135,1.7856004693397438,0.9476524000000073,5047
326,137,1.5561542124136978,0.9474526000000073,1747
327,169,1.6388721565800939,0.9472528000000073,3489
328,221,1.4723912851530712,0.9470530000000074,6131
329,229,1.5685194073605246,0.9468532000000074,4355
330,179,1.4746123727603455,0.9466534000000074,7059
331,186,1.6228257820527978,0.9464536000000074,2920
332,215,1.6101674918271922,0.9462538000000075,2880
333,143,1.944030805427253,0.9460540000000075,3265
334,142,2.07555469833745,0.9458542000000075,4483
335,223,2.2853600432195686,0.9456544000000076,4076
336,191,1.6461957993807252,0.9454546000000076,5883
337,207,1.6736471827547112,0.9452548000000076,6685
